True_SMILES,Corrupted_SMILES,Recovered_SMILES,Is_Valid
Br.Cl.Br.Br.N.Br.Br.Br.COc1cccc2cnccc12,Br.[MASK].Br.[MASK].N[MASK]Br[MASK]Br.[MASK][MASK]CO[MASK]1c[MASK]cc[MASK][MASK]nccc[MASK][MASK],Br.C.Br.C.N.Br.Br.CCCOc1cccc2cnccc12,True
Br.N=c1cc(CBr)c2cc(Br)ccc2[nH]1,Br.[MASK]=[MASK]1c[MASK](C[MASK])c2[MASK]c[MASK]Br)ccc2[nH]1,Br.O=c1cc(CO)c2cc(Br)ccc2[nH]1,True
Br.O=C1NCC(c2ccccc2)c2[nH]nnc21,Br[MASK]O=C1[MASK]C[MASK](c2c[MASK]c[MASK]c[MASK])c[MASK][nH]n[MASK]c2[MASK],Br.O=C1CCC(c2ccccc2)c2[nH]nnc21,True
BrN=C(N)SC1=C(C#N)C(c2cccs2)C(C#N)=C(N)O1,BrN=C[MASK][MASK][MASK]S[MASK][MASK][MASK]C(C[MASK][MASK][MASK][MASK]([MASK][MASK][MASK][MASK]cs[MASK])[MASK][MASK][MASK][MASK][MASK])=[MASK][MASK][MASK])O[MASK],BrN=C1CCSC1=C(C#N)C(c2cccs2)C(C#N)=C(Br)O1,False
Brc1ccc(-c2n[nH]c(N3CCCCC3)n2)cc1,[MASK]c1c[MASK][MASK](-[MASK][MASK][MASK][nH]c[MASK]N3[MASK][MASK]C[MASK][MASK]3)[MASK]2[MASK]cc1,Fc1ccc(-c2n[nH]c(N3CCCCC3)n2)cc1,True
Brc1ccc(CN2CCc3nc(Cn4cncn4)ccc3C2)s1,Br[MASK]1c[MASK][MASK]([MASK]N[MASK]CCc3nc([MASK][MASK][MASK]c[MASK][MASK][MASK]4)ccc[MASK]C2)[MASK]1,Brc1csc(CN2CCc3nc(-n4cccn4)ccc3C2)o1,False
Brc1ccc(COC(c2ccccc2)c2ccc(Cl)cc2)cc1,[MASK]c1[MASK][MASK]c[MASK]COC[MASK][MASK]2ccccc[MASK][MASK][MASK]2[MASK]c[MASK]([MASK][MASK]c[MASK]2)cc[MASK],Cc1ccc(COC(c2ccccc2)c2ccc(Cl)cc2)cc1,True
Brc1ccc(COCc2nn[nH]n2)cc1Br,Brc[MASK]ccc(CO[MASK]c2[MASK]n[nH][MASK][MASK])[MASK]c1Br,Brc1ccc(COCc2nn[nH]n2)cc1Br,True
Brc1ccc(Cc2ccncc2)c(CN2CCC(Cc3ccccc3)CC2)c1,[MASK]c[MASK][MASK][MASK][MASK]([MASK][MASK][MASK][MASK][MASK]nc[MASK]2)[MASK]([MASK]N[MASK][MASK][MASK]C([MASK][MASK][MASK][MASK]cccc3)[MASK]C[MASK][MASK]c1,Clc1ccc(-c2ccncc2)c(CN2CCC(Cc3ccccc3)CC2)c1,True
Brc1ccc(N2CCN(CCCOc3ccc(F)cc3)CC2)c(Cl)c1Cl,Brc1ccc(N2CC[MASK](C[MASK]COc3c[MASK]c(F)cc3)CC2[MASK]c(Cl[MASK]c[MASK]Cl,Brc1ccc(N2CCN(CCCOc3ccc(F)cc3)CC2)c(Cl)c1Cl,True
Brc1ccc2nc(-c3ccccc3)c(C3=NCCN3)n2c1,Brc[MASK]ccc2nc(-[MASK]3[MASK]cc[MASK]c3[MASK]c([MASK][MASK]=NCCN3)n2c1,Brc1ccc2nc(-c3ccccc3)c(C3=NCCN3)n2c1,True
Brc1ccccc1N1CCN(C(Cn2nc(-c3ccco3)oc2=S)c2ccc(Cl)cc2)CC1,[MASK][MASK]1cc[MASK][MASK]c1N1C[MASK][MASK]([MASK][MASK]Cn[MASK]nc[MASK][MASK]c3cc[MASK][MASK]3[MASK]oc2[MASK]S[MASK][MASK]2[MASK]c[MASK][MASK][MASK][MASK][MASK]c2)[MASK][MASK][MASK],Cc1ccccc1N1CCN(CCCn2nc(-c3cccs3)oc2=SCc2ccc(Cl)cc2)CC1,True
Brc1cnc(N2CCNCC2)nc1N1CCCc2ccccc21,[MASK]c1[MASK]nc([MASK][MASK][MASK][MASK]NCC[MASK][MASK][MASK]c[MASK]N1[MASK][MASK]Cc[MASK][MASK][MASK][MASK][MASK]c[MASK]1,Clc1cnc(N2CCNCC2)nc1N1CCCc2ccccc21,True
Brc1cncc(NC2CCN(c3nccs3)CC2)n1,[MASK][MASK][MASK][MASK][MASK]cc[MASK][MASK][MASK][MASK]CC[MASK][MASK][MASK][MASK][MASK]c[MASK][MASK]3[MASK]CC[MASK][MASK]n[MASK],Cc1cccc(CN2CC((c3cccn3)CC2)n1,False
Brc1ncnc(N2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1CCc1ccc(Br)cc1,[MASK][MASK][MASK][MASK][MASK][MASK]c[MASK][MASK][MASK]C[MASK]C([MASK][MASK]n[MASK]n[MASK][MASK][MASK]c5[MASK]c[MASK]c5[MASK][MASK]4[MASK]CC[MASK][MASK]c[MASK][MASK]C[MASK]1c[MASK][MASK][MASK]Br[MASK]cc[MASK],Cc1cccc(N2CCC(c3nnnc4cc5[nH]ccc5c34)CC2)cc1Cc1ccc(Br)cc1,False
C#C/C=C(\C#N)COc1ccc(/C=C/C(=O)O)cc1OC,[MASK][MASK]C/[MASK][MASK][MASK][MASK][MASK]C[MASK]N)[MASK][MASK][MASK]1cc[MASK]([MASK][MASK]=[MASK]/[MASK]([MASK]O)[MASK])cc1[MASK][MASK],C#C/C(C(\C#N)NCc1ccc(/C=C/C(=O)[O-])cc1.Cl,False
C#C/N=C1\CN2CC[C@H](C)[C@H]2CN1,C#C/[MASK]=[MASK]1[MASK]CN2CC[C@H](C)[C@H]2CN[MASK],C#C/N=C1\CN2CC[C@H](C)[C@H]2CN1,True
C#CC(C)(C)C(=O)C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,C#C[MASK]([MASK][MASK][MASK]C[MASK]C[MASK]=O)C(=[MASK][MASK][MASK][MASK]1[MASK]cc[MASK]S(=O)[MASK][MASK][MASK])N2[MASK]C[MASK][MASK]2[MASK][MASK][MASK][MASK],C#CC(C)(C)C)=O)C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,False
C#CC(C)(C)C1CC(=O)c2cc(O)c(O)cc2C1,C[MASK]C[MASK][MASK]C)[MASK][MASK])C1[MASK]C(=O[MASK][MASK]2c[MASK](O)c[MASK][MASK])cc[MASK]C[MASK],CCCC(C)(C)C1CC(=O)c2cc(O)c(O)cc2C1,True
C#CCN(Cc1cocn1)C(=O)COC(=O)c1cc(Cl)ccc1N1CCCCC1,C#CCN(Cc1c[MASK]c[MASK][MASK][MASK]C(=O)COC(=O[MASK]c1cc(Cl)ccc1N1[MASK]CCCC1,C#CCN(Cc1ccco1)C(=O)COC(=O)c1cc(Cl)ccc1N1CCCCC1,True
C#CCN1CC(CNC(=O)c2ccc(Cl)cc2)(c2ccccc2)C1,[MASK][MASK]CCN1C[MASK][MASK]C[MASK][MASK](=[MASK][MASK][MASK][MASK][MASK]c[MASK]([MASK][MASK]cc[MASK][MASK]([MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK],COCCN1CC(C(C(=O)c2ccc(Cl)cc2C(=))c)c)CCC1,False
C#CCN1CCC(n2nc(C(=O)c3ccccc3)n(C)c2=S)CC1,[MASK]#C[MASK][MASK]1[MASK][MASK][MASK][MASK]n[MASK]n[MASK]([MASK][MASK][MASK][MASK][MASK]c[MASK][MASK]c[MASK][MASK][MASK][MASK][MASK]n[MASK][MASK])c[MASK][MASK]S[MASK][MASK]C[MASK],C#CCN1CCC(n2nc(Cccccc4cccccc)n(3)c2=SCCC1,False
C#CCNC(=S)c1ccc(/C=C2\CC(=O)N(c3ccccc3C)C2=O)s1,[MASK]#[MASK]C[MASK][MASK](=S[MASK][MASK][MASK]cc[MASK][MASK][MASK][MASK]=[MASK][MASK]\C[MASK](=[MASK])[MASK][MASK]c[MASK]ccccc3C)[MASK][MASK]=O)s[MASK],C#CCNC(=S)c1ccc(/C=C2\CC(=O)N(c3ccccc3C)C2=O)s1,True
C#CCO/N=C(\C(=O)OC)c1ccc(/C=C/C(=O)OC)cc1,[MASK]#[MASK]CO/[MASK]=[MASK]([MASK]C(=[MASK][MASK]OC[MASK]c1ccc[MASK]/C[MASK][MASK][MASK][MASK](=O)O[MASK])cc1,C#CCO/N=C(/C(=O)OC)c1ccc(/C=C/C(=O)OC)cc1,True
C#CCOC(=O)c1cnc2c(C)c(O)ccc2c1O,[MASK][MASK]CC[MASK]C([MASK]O)[MASK][MASK][MASK][MASK][MASK][MASK]c[MASK]C)[MASK][MASK]O)[MASK][MASK][MASK]2c1[MASK],CCCCNC(=O)c1snc2c(C)c(O)ccc2c1C,False
C#CCOC[C@@H]1[C@H]2Cc3ccc(O)cc3[C@]1(CCN2CC1CC1)COC(=O)CF,C#CC[MASK]C[C@@H][MASK][MASK]2Cc[MASK][MASK]cc(O[MASK]cc3[C@][MASK](CCN[MASK][MASK]C[MASK][MASK][MASK][MASK][MASK]COC(=[MASK])[MASK][MASK],C#CCCC[C@@H]1[C@H]2Cc3ccc(O)cc3[C@]1(CCN2CCCCCCCCOC(=O)C1,False
C#CCOc1ccc(/C=N/NC(=O)/C=C/Nc2ccc(S(=O)(=O)NC)cc2)cc1,C[MASK]CC[MASK]c1c[MASK][MASK]([MASK][MASK]=N/NC(=O)/C=C/[MASK]c[MASK]c[MASK]c(S[MASK]=[MASK])(=O)NC)cc2)cc[MASK],CCCCOc1ccc(/C=N/NC(=O)/C=C/Nc2ccc(S(=O)(=O)NC)cc2)cc1,True
C#CCOc1ccc(C(=O)C(C)Sc2nnnn2-c2ccc(OC)cc2)cc1CO,C#C[MASK]O[MASK]1ccc[MASK]C[MASK]=[MASK])[MASK](C)Sc[MASK]nnnn2-c2c[MASK][MASK](OC[MASK]cc[MASK])cc[MASK][MASK]O,C#CCOc1ccc(C(=O)C(C)Sc2nnnn2-c2ccc(OC)cc2)cc1OO,True
C#CCOc1ccc2c(c1)C(=O)C(=O)c1c(OC)cc(OC(F)F)cc1C2=O,[MASK][MASK][MASK][MASK]O[MASK]1[MASK][MASK]c2[MASK](c1)[MASK](=O)C[MASK]=O)c1[MASK]([MASK]C)[MASK][MASK](O[MASK](F[MASK][MASK][MASK]cc1[MASK][MASK]=O,CCCCOc1ccc2c(c1)C(=O)C(=O)c1c(OC)cc(OC(F)F)cc1C2=O,True
C#CCOc1cnc(CN2CCCC(Cn3cncn3)C2)cn1,[MASK]#[MASK][MASK][MASK][MASK][MASK][MASK]n[MASK]([MASK]N[MASK][MASK]C[MASK]C[MASK]C[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]C[MASK][MASK][MASK][MASK][MASK],N#CCCc1cnc(CN2CCCCCCC)CCCCCCCC2)o1,False
C#CCOc1cncc(C#Cc2cc(Cl)c3c(c2)[C@@H]2[C@@H](CCN2C)[C@@H](CO)N3)c1,[MASK]#C[MASK][MASK][MASK]1[MASK]nc[MASK][MASK][MASK][MASK]C[MASK][MASK][MASK][MASK][MASK][MASK])[MASK]3c[MASK][MASK][MASK][MASK][C@@H][MASK][MASK][MASK]CC[MASK][MASK][MASK][MASK][C@@H](CO)[MASK][MASK])c[MASK],C#CCCn1cnc(C2CCN(C((O)c3c(c2)[C@@H](CCCCCCC)[C@@H](CO)O2)c1,False
C#CCSc1nc(N)c(C#N)c(=O)n1Cc1c(F)cccc1Cl,C[MASK]CC[MASK][MASK]1nc(N)[MASK](C#N[MASK]c[MASK][MASK]O)n[MASK][MASK]c[MASK]c(F)cccc[MASK]Cl,CCCCSc1nc(N)c(C#N)c(=O)n1-c1c(F)cccc1Cl,True
C#CC[n+]1ccn(C(c2ccccc2)c2ccccc2)c1,C#[MASK][MASK][MASK]1[MASK]c[MASK][MASK][MASK][MASK][MASK][MASK][MASK]c[MASK][MASK]c[MASK][MASK][MASK]2[MASK]c[MASK][MASK]c2[MASK][MASK]1,C#CCc1cc(cc1ccccccc(-c2ccccc2)n1,False
C#CCc1ccc2c(c1)/C(=N/O)CC(c1ccccc1)O2,[MASK]#C[MASK][MASK][MASK][MASK][MASK]c2[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]/O)[MASK][MASK]([MASK][MASK]ccc[MASK][MASK][MASK])[MASK][MASK],N#Cc1cccc2c1ccc/C(=N/O)CC(c1ccccc1)C2,False
C#CCn1c(-c2ccccc2)nc2c(C(=O)N3CCN(c4cc5ccccc5cc4OC)CC3)cccc21,C[MASK]CCn1c([MASK]c2ccccc2)n[MASK]2c([MASK](=O)N3CCN[MASK]c4cc5ccc[MASK]c5cc4OC)CC3)cccc21,C=CCn1c(-c2ccccc2)nc2c(C(=O)N3CCN(c4cc5ccccc5cc4OC)CC3)cccc21,True
C#CCn1c(=O)[nH]c2[nH]c(-c3ccc(OCC(=O)NCc4ccccc4)cc3)cc2c1=O,[MASK][MASK]C[MASK][MASK][MASK]c[MASK]=O[MASK][MASK]c2[MASK][MASK][MASK][MASK][MASK][MASK]c[MASK][MASK]([MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]c[MASK]c[MASK]c[MASK]c4)c[MASK][MASK])[MASK]c2[MASK][MASK][MASK][MASK],CCCCn1c(=O)[nH]c2cc(-c3ccc(OC=Oc(=OCc4ccccc4)cc3)cc2c1=O,False
C#CCn1c(O)nnc1SCC(=O)Nc1ccc2c(c1)CCC2,C[MASK]C[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]S[MASK]C[MASK]=O[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]c[MASK])[MASK][MASK]C2,CCCCn1)cccnnc1SCC(=O)Nc1ccc2c(c1)OCC2,False
C#C[C@H](Cc1cn(-c2ccccc2)nn1)NC(=O)CC(=O)Nc1ccc(F)c(F)c1,C[MASK]C[C@H]([MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]2cc[MASK][MASK]c2)[MASK]n1)[MASK][MASK](=[MASK])[MASK][MASK]([MASK]O[MASK][MASK]c1cc[MASK][MASK][MASK][MASK][MASK][MASK]F[MASK][MASK]1,CCC[C@H](Cc1cc(-c2ccccc2)nn1)NC(=O)NC(=O)Nc1ccc(F)c(F)c1,False
C#Cc1cc(N2C(=O)C3CN(C)C3C2=O)ccc1Cl,C[MASK][MASK][MASK][MASK][MASK]c[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]C[MASK][MASK]2[MASK]O[MASK]c[MASK][MASK][MASK]Cl,COc1ccc(CC=CCCCCCCCCCCCCC2=O)cc1.Cl,False
C#Cc1cccc(-c2cc(-c3nnc(O)c4cc(NC(=O)C5CC(O)CC5)ccc34)cnc2N)c1,C#Cc1cc[MASK]c[MASK][MASK]c[MASK][MASK]c(-[MASK][MASK]n[MASK]c[MASK]O[MASK]c[MASK]c[MASK][MASK]N[MASK][MASK][MASK]O)[MASK][MASK][MASK]C([MASK])CC5)c[MASK][MASK]34)[MASK]nc[MASK]N)[MASK]1,C#Cc1cccc(-c2cc(-c3nnc(O)c4cc(NC(=O)C5CC(F)CC5)ccc34)cnc2N)c1,True
C#Cc1cnc(N2CCC(N3C(=O)OCc4cnc(-c5cnco5)nc43)CC2)nc1N1CCOC[C@H]1CO,[MASK]#[MASK][MASK]1[MASK][MASK]c([MASK]2C[MASK][MASK]([MASK]3[MASK][MASK]=[MASK])[MASK][MASK]c[MASK]cn[MASK](-c5c[MASK][MASK]o5)[MASK]c4[MASK])[MASK]C2[MASK][MASK]c1N[MASK]CCOC[MASK]1C[MASK],N#Cc1cnc(N2CCC(n3c(=O)cCc4cnc(-c5ccco5)cc43)CC2)nc1N1CCOCC1CO,False
C(#CCOC(=O)c1c[nH]c2ccccc2c1=S)C[n+]1ccsc1,C([MASK]C[MASK]OC([MASK]O[MASK]c1c[nH][MASK]2[MASK]cccc2c1=[MASK][MASK]C[n+][MASK][MASK]csc1,C(=CCOC(=O)c1c[nH]c2ccccc2c1=N)C[n+]1ccsc1,True
C(#Cc1c[nH]nc1-c1cccc(OC[C@@H]2CNCCO2)n1)c1ccccc1.Cl.[Cl-],C(#C[MASK]1[MASK][MASK]n[MASK]1-c[MASK][MASK]c[MASK]c[MASK]O[MASK][MASK][MASK]CN[MASK][MASK][MASK][MASK])n[MASK][MASK][MASK][MASK]c[MASK][MASK][MASK][MASK]1[MASK][MASK][MASK][Cl-],C(#C[n+]1ncnc1-c1cccc(OCCCCNCC)2)n1)c1ccccc1.[Br-].[Cl-],False
C(#Cc1cnn2c(N3CCC[C@H]3COCC3COCCO3)ncnc12)CCN1CCCCC1,[MASK][MASK]#C[MASK]1[MASK][MASK]n[MASK][MASK][MASK]N[MASK][MASK][MASK]C[C@H][MASK]C[MASK][MASK][MASK]3[MASK]O[MASK]CO3)[MASK]c[MASK][MASK][MASK][MASK])[MASK][MASK]N[MASK]CC[MASK][MASK][MASK][MASK],C(#Cc1ccn2c(N1CCC[C@H](COC[C@H]3COCCO3)ncnc12)c1N1CCOCC1,False
C(=C/c1nnc2ccccn12)\Cn1ccnc1,[MASK][MASK][MASK]C[MASK]c[MASK]nn[MASK]2[MASK][MASK][MASK][MASK][MASK][MASK][MASK])[MASK]C[MASK][MASK]cc[MASK][MASK][MASK],CCCC)c1nnc2cc(C(=O)NC))ccc12,False
C(=N/Nc1ncnc2ccccc12)\c1ccc(-c2nc3ccccc3s2)cc1,C(=N/Nc1n[MASK]nc2[MASK][MASK]cc[MASK][MASK]2[MASK][MASK]c[MASK]c[MASK]c[MASK][MASK]c2[MASK]c[MASK]cc[MASK][MASK]c3s[MASK])[MASK][MASK]1,C(=N/Nc1ncnc2ccccc12)\c1ccc(-c2nc3ccccc3s2)cc1,True
C.CCOc1nc(N)c2c(n1)C(=O)c1ccc(N(CC)CC)cc1C2=O,C[MASK]CCOc1nc(N)c2c[MASK][MASK]1)C(=[MASK])[MASK][MASK]ccc([MASK](CC)CC)cc[MASK]C[MASK][MASK]O,CCCCOc1nc(N)c2c(c1)C(=O)c1ccc(N(CC)CC)cc1C2=O,True
C/C(=C/c1cccnc1)C(=O)N1CCN[C@H](Cn2cccn2)C1,[MASK][MASK][MASK]([MASK][MASK]/[MASK]1cccn[MASK]1[MASK][MASK](=[MASK])N1C[MASK][MASK][C@H][MASK][MASK][MASK]2[MASK]ccn[MASK][MASK][MASK]1,C/C(=C/c1cccnc1)C(=O)N1CCC[C@H](Nn2cccn2)C1,True
C/C(=C\C(C(C)C)C(=O)O)CC/C(C)=C/CC[C@@H]1C=C[C@H](C)C1,C[MASK][MASK][MASK]=C\C(C[MASK]C)[MASK][MASK][MASK][MASK]=[MASK][MASK]O[MASK][MASK]C/[MASK][MASK][MASK][MASK][MASK]C/C[MASK][MASK][MASK][MASK][MASK][MASK][MASK](C[MASK]C[MASK],C/C1=C\C(C)C)CCC(=O)OCCC/C(C)=C/C=C(CCCC(C)C1,False
C/C(=C\C1CC(=O)N(Cc2ccccc2)C1)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C[MASK][MASK][MASK][MASK]C\C[MASK]CC(=O)[MASK][MASK]Cc[MASK][MASK]c[MASK][MASK][MASK]2[MASK][MASK]1)[C@H]1[MASK][MASK][C@H][MASK][MASK]3[MASK][C@@H](O[MASK][MASK]4[MASK][MASK][MASK]O[MASK][MASK][MASK][C@][MASK](C[MASK][MASK]3[MASK][MASK][C@][MASK]2C,C/C(=C\CCCC(=O)NCCc2ccccc2)C1)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,False
C/C(=C\C=C\c1cccc(O)c1)c1cccc(C)c1,C[MASK]C[MASK]=[MASK][MASK]C[MASK]C\c[MASK]cccc[MASK]O)c[MASK])c1c[MASK][MASK]c([MASK])c1,C/C(=N\C=C\c1cccc(O)c1)c1cccc(O)c1,True
C/C(=C\CNC(=O)c1ccccc1)C(=O)Nc1nnc2cc3ccccc3nc2n1,C/C[MASK]=C\CNC(=O[MASK]c[MASK][MASK]c[MASK]cc1)C(=O)Nc[MASK]n[MASK]c2c[MASK]3[MASK]cccc3[MASK][MASK][MASK][MASK][MASK],C/C(=C\CNC(=O)c1ccccc1)C(=O)Nc1ncc2cc3ccccc3c2c1O,False
C/C(=C\CSC1=CC(=O)c2ccccc2C1=O)c1cc(Br)ccc1O,C[MASK]C(=[MASK]\CSC1=CC([MASK][MASK])[MASK]2ccccc2C1[MASK][MASK])c[MASK]cc(Br)ccc[MASK][MASK],C/C(=N\CSC1=CC(=O)c2ccccc2C1=O)c1cc(Br)ccc1O,True
C/C(=C\C[C@H]1CN2C(=Nc3ccccc3C2)N1C)CO,[MASK]/C[MASK]=C\C[C@H]1[MASK][MASK]2[MASK]([MASK]Nc3c[MASK][MASK][MASK][MASK][MASK]C2)N1[MASK][MASK]C[MASK],C/C(=C\C[C@H]1CC2C(=Nc3ccccc3C2)N1))C1,False
C/C(=C\c1cc(O)ccc1O)C(=O)Nc1nc2cc(NC(=O)c3cccc(F)c3)ccc2s1,C/[MASK][MASK]=C\[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]=[MASK])N[MASK][MASK]n[MASK][MASK][MASK]c[MASK][MASK]C[MASK]=[MASK][MASK][MASK]3[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK])[MASK][MASK][MASK][MASK][MASK][MASK],C/C(=C\c1ccccccccc1)C(=O)Nc1nc22c(NC(=O)c3ccc(()cc3)ccc2s1,False
C/C(=C\c1ccc(C(=O)O)cc1)c1sc(N2CCC(N(C)C)CC2)nc1-c1ccc(Cl)cc1,[MASK][MASK]C(=C\c1ccc(C(=O)O)c[MASK]1)c1[MASK]c([MASK][MASK]CCC[MASK]N(C)[MASK])[MASK]C2)nc[MASK]-c1[MASK]cc(Cl)[MASK]c1,C/C(=C\c1ccc(C(=O)O)cc1)c1sc(N2CCC(N(C)C)CC2)nc1-c1ccc(Cl)cc1,True
C/C(=C\c1ccc2cc3ccccc3nc2c1)C/C=C\C[C@@H](C)N,C/C(=C\c1ccc2cc3[MASK]ccc[MASK]3[MASK][MASK]2c[MASK])[MASK]/C[MASK]C\C[MASK](C[MASK]N,C/C(=C\c1ccc2cc3ccccc3cc2c1)N/C=C\CN(C)N,True
